"Year","Canton","TypeofOwner","NrofOwners","TotalArea","ProductiveArea","Hardwood","Softwood","TotalSpecies"
"1975","Glarus","Type of owners - Total","1458","16492","14268","142375","8722","151097"
"1975","Glarus","Private forest","1420","1654","1654","400","0","400"
"1975","Glarus","Public forest","38","14838","12614","141975","8722","150697"
"1975","Glarus",">>Federal forest","1","109","99",NA,NA,NA
"1975","Glarus",">>Cantonal forest","1","84","78",NA,NA,NA
"1975","Glarus",">>Municipality forest","1","54","48",NA,NA,NA
"1975","Glarus",">>Bourgeois forest","31","14365","12169",NA,NA,NA
"1975","Glarus",">>Other public forest","4","226","220",NA,NA,NA
"1975","Schaffhausen","Type of owners - Total","1965","12465","12294","328930","39790","368720"
"1975","Schaffhausen","Private forest","1933","1873","1873","38680","1300","39980"
"1975","Schaffhausen","Public forest","32","10592","10421","290250","38490","328740"
"1975","Schaffhausen",">>Federal forest","0","0","0",NA,NA,NA
"1975","Schaffhausen",">>Cantonal forest","1","2142","2093",NA,NA,NA
"1975","Schaffhausen",">>Municipality forest","30","8442","8320",NA,NA,NA
"1975","Schaffhausen",">>Bourgeois forest","0","0","0",NA,NA,NA
"1975","Schaffhausen",">>Other public forest","1","8","8",NA,NA,NA
"1975","Appenzell Ausserrhoden","Type of owners - Total","4120","6435","6411","64341","14215","78556"
"1975","Appenzell Ausserrhoden","Private forest","4095","5051","5051","44666","6855","51521"
"1975","Appenzell Ausserrhoden","Public forest","25","1384","1360","19675","7360","27035"
"1975","Appenzell Ausserrhoden",">>Federal forest","1","163","163",NA,NA,NA
"1975","Appenzell Ausserrhoden",">>Cantonal forest","1","274","253",NA,NA,NA
"1975","Appenzell Ausserrhoden",">>Municipality forest","21","934","931",NA,NA,NA
"1975","Appenzell Ausserrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1975","Appenzell Ausserrhoden",">>Other public forest","2","13","13",NA,NA,NA
"1975","Appenzell Innerrhoden","Type of owners - Total","1685","4999","4509","42415","1340","43755"
"1975","Appenzell Innerrhoden","Private forest","1663","3099","3099","26490","790","27280"
"1975","Appenzell Innerrhoden","Public forest","22","1900","1410","15925","550","16475"
"1975","Appenzell Innerrhoden",">>Federal forest","0","0","0",NA,NA,NA
"1975","Appenzell Innerrhoden",">>Cantonal forest","1","154","132",NA,NA,NA
"1975","Appenzell Innerrhoden",">>Municipality forest","0","0","0",NA,NA,NA
"1975","Appenzell Innerrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1975","Appenzell Innerrhoden",">>Other public forest","21","1746","1278",NA,NA,NA
"1975","St. Gallen","Type of owners - Total","14359","50251","46575","667315","80610","747925"
"1975","St. Gallen","Private forest","14099","18249","18249","264115","22332","286447"
"1975","St. Gallen","Public forest","260","32002","28326","403200","58278","461478"
