"Forest area in Switzerland, in ha"

"Year";"Forest zone";"Canton";"Type of owner";"Forest owners number";"Total forest area";"Productive forest area"
"1975";"Switzerland";"Glarus";"Type of owners - Total";1458;16492;14268
"1975";"Switzerland";"Glarus";"Private forest";1420;1654;1654
"1975";"Switzerland";"Glarus";"Public forest";38;14838;12614
"1975";"Switzerland";"Glarus";">>Federal forest";1;109;99
"1975";"Switzerland";"Glarus";">>Cantonal forest";1;84;78
"1975";"Switzerland";"Glarus";">>Municipality forest";1;54;48
"1975";"Switzerland";"Glarus";">>Bourgeois forest";31;14365;12169
"1975";"Switzerland";"Glarus";">>Other public forest";4;226;220
"1975";"Switzerland";"Schaffhausen";"Type of owners - Total";1965;12465;12294
"1975";"Switzerland";"Schaffhausen";"Private forest";1933;1873;1873
"1975";"Switzerland";"Schaffhausen";"Public forest";32;10592;10421
"1975";"Switzerland";"Schaffhausen";">>Federal forest";0;0;0
"1975";"Switzerland";"Schaffhausen";">>Cantonal forest";1;2142;2093
"1975";"Switzerland";"Schaffhausen";">>Municipality forest";30;8442;8320
"1975";"Switzerland";"Schaffhausen";">>Bourgeois forest";0;0;0
"1975";"Switzerland";"Schaffhausen";">>Other public forest";1;8;8
"1975";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";4120;6435;6411
"1975";"Switzerland";"Appenzell Ausserrhoden";"Private forest";4095;5051;5051
"1975";"Switzerland";"Appenzell Ausserrhoden";"Public forest";25;1384;1360
"1975";"Switzerland";"Appenzell Ausserrhoden";">>Federal forest";1;163;163
"1975";"Switzerland";"Appenzell Ausserrhoden";">>Cantonal forest";1;274;253
"1975";"Switzerland";"Appenzell Ausserrhoden";">>Municipality forest";21;934;931
"1975";"Switzerland";"Appenzell Ausserrhoden";">>Bourgeois forest";0;0;0
"1975";"Switzerland";"Appenzell Ausserrhoden";">>Other public forest";2;13;13
"1975";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";1685;4999;4509
"1975";"Switzerland";"Appenzell Innerrhoden";"Private forest";1663;3099;3099
"1975";"Switzerland";"Appenzell Innerrhoden";"Public forest";22;1900;1410
"1975";"Switzerland";"Appenzell Innerrhoden";">>Federal forest";0;0;0
"1975";"Switzerland";"Appenzell Innerrhoden";">>Cantonal forest";1;154;132
"1975";"Switzerland";"Appenzell Innerrhoden";">>Municipality forest";0;0;0
"1975";"Switzerland";"Appenzell Innerrhoden";">>Bourgeois forest";0;0;0
"1975";"Switzerland";"Appenzell Innerrhoden";">>Other public forest";21;1746;1278
"1975";"Switzerland";"St. Gallen";"Type of owners - Total";14359;50251;46575
"1975";"Switzerland";"St. Gallen";"Private forest";14099;18249;18249
"1975";"Switzerland";"St. Gallen";"Public forest";260;32002;28326
"1975";"Switzerland";"St. Gallen";">>Federal forest";1;52;48
"1975";"Switzerland";"St. Gallen";">>Cantonal forest";1;1986;1760
"1975";"Switzerland";"St. Gallen";">>Municipality forest";29;423;406
"1975";"Switzerland";"St. Gallen";">>Bourgeois forest";111;24916;21913
"1975";"Switzerland";"St. Gallen";">>Other public forest";118;4625;4199
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";9769;170030;134652
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";9502;14222;14222
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";267;155808;120430
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";">>Federal forest";1;214;36
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";">>Cantonal forest";1;778;533
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";">>Municipality forest";231;149939;115885
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";">>Bourgeois forest";0;0;0
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";">>Other public forest";34;4877;3976
"1975";"Switzerland";"Thurgau";"Type of owners - Total";8882;19031;18855
"1975";"Switzerland";"Thurgau";"Private forest";8749;10480;10480
"1975";"Switzerland";"Thurgau";"Public forest";133;8551;8375
"1975";"Switzerland";"Thurgau";">>Federal forest";1;192;127
"1975";"Switzerland";"Thurgau";">>Cantonal forest";1;1371;1367
"1975";"Switzerland";"Thurgau";">>Municipality forest";3;48;48
"1975";"Switzerland";"Thurgau";">>Bourgeois forest";95;5940;5833
"1975";"Switzerland";"Thurgau";">>Other public forest";33;1000;1000
"1975";"Jura";"Glarus";"Type of owners - Total";0;0;0
"1975";"Jura";"Glarus";"Private forest";0;0;0
"1975";"Jura";"Glarus";"Public forest";0;0;0
"1975";"Jura";"Glarus";">>Federal forest";0;0;0
"1975";"Jura";"Glarus";">>Cantonal forest";0;0;0
"1975";"Jura";"Glarus";">>Municipality forest";0;0;0
"1975";"Jura";"Glarus";">>Bourgeois forest";0;0;0
"1975";"Jura";"Glarus";">>Other public forest";0;0;0
"1975";"Jura";"Schaffhausen";"Type of owners - Total";1810;12126;11956
"1975";"Jura";"Schaffhausen";"Private forest";1780;1736;1736
"1975";"Jura";"Schaffhausen";"Public forest";30;10390;10220
"1975";"Jura";"Schaffhausen";">>Federal forest";0;0;0
"1975";"Jura";"Schaffhausen";">>Cantonal forest";1;2142;2093
"1975";"Jura";"Schaffhausen";">>Municipality forest";28;8240;8119
"1975";"Jura";"Schaffhausen";">>Bourgeois forest";0;0;0
"1975";"Jura";"Schaffhausen";">>Other public forest";1;8;8
"1975";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";"Private forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";"Public forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Federal forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Cantonal forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Municipality forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Bourgeois forest";0;0;0
