"Number of plantations in Swiss forest"

"Year";"Forest zone";"Canton";"Type of owner";"Wood species";"Number of plantations"
"1975";"Switzerland";"Glarus";"Type of owners - Total";"Species - Total";151097
"1975";"Switzerland";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";142375
"1975";"Switzerland";"Glarus";"Type of owners - Total";"Softwood (conifers)";8722
"1975";"Switzerland";"Glarus";"Private forest";"Species - Total";400
"1975";"Switzerland";"Glarus";"Private forest";"Hardwood (deciduous)";400
"1975";"Switzerland";"Glarus";"Private forest";"Softwood (conifers)";0
"1975";"Switzerland";"Glarus";"Public forest";"Species - Total";150697
"1975";"Switzerland";"Glarus";"Public forest";"Hardwood (deciduous)";141975
"1975";"Switzerland";"Glarus";"Public forest";"Softwood (conifers)";8722
"1975";"Switzerland";"Schaffhausen";"Type of owners - Total";"Species - Total";368720
"1975";"Switzerland";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";328930
"1975";"Switzerland";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";39790
"1975";"Switzerland";"Schaffhausen";"Private forest";"Species - Total";39980
"1975";"Switzerland";"Schaffhausen";"Private forest";"Hardwood (deciduous)";38680
"1975";"Switzerland";"Schaffhausen";"Private forest";"Softwood (conifers)";1300
"1975";"Switzerland";"Schaffhausen";"Public forest";"Species - Total";328740
"1975";"Switzerland";"Schaffhausen";"Public forest";"Hardwood (deciduous)";290250
"1975";"Switzerland";"Schaffhausen";"Public forest";"Softwood (conifers)";38490
"1975";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";78556
"1975";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";64341
"1975";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";14215
"1975";"Switzerland";"Appenzell Ausserrhoden";"Private forest";"Species - Total";51521
"1975";"Switzerland";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";44666
"1975";"Switzerland";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";6855
"1975";"Switzerland";"Appenzell Ausserrhoden";"Public forest";"Species - Total";27035
"1975";"Switzerland";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";19675
"1975";"Switzerland";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";7360
"1975";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";43755
"1975";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";42415
"1975";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";1340
"1975";"Switzerland";"Appenzell Innerrhoden";"Private forest";"Species - Total";27280
"1975";"Switzerland";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";26490
"1975";"Switzerland";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";790
"1975";"Switzerland";"Appenzell Innerrhoden";"Public forest";"Species - Total";16475
"1975";"Switzerland";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";15925
"1975";"Switzerland";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";550
"1975";"Switzerland";"St. Gallen";"Type of owners - Total";"Species - Total";747925
"1975";"Switzerland";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";667315
"1975";"Switzerland";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";80610
"1975";"Switzerland";"St. Gallen";"Private forest";"Species - Total";286447
"1975";"Switzerland";"St. Gallen";"Private forest";"Hardwood (deciduous)";264115
"1975";"Switzerland";"St. Gallen";"Private forest";"Softwood (conifers)";22332
"1975";"Switzerland";"St. Gallen";"Public forest";"Species - Total";461478
"1975";"Switzerland";"St. Gallen";"Public forest";"Hardwood (deciduous)";403200
"1975";"Switzerland";"St. Gallen";"Public forest";"Softwood (conifers)";58278
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";889314
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";813009
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";76305
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";12050
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";11100
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";950
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";877264
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";801909
"1975";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";75355
"1975";"Switzerland";"Thurgau";"Type of owners - Total";"Species - Total";553095
"1975";"Switzerland";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";455301
"1975";"Switzerland";"Thurgau";"Type of owners - Total";"Softwood (conifers)";97794
"1975";"Switzerland";"Thurgau";"Private forest";"Species - Total";340895
